==================================================================
fastsimcoal started on 26/06/2025 at 14:44:46

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
0	1	data unknown	939.575	0	0
1	1	data unknown	823.856	0	0
2	1	data unknown	1410.16	0	0
3	1	data unknown	2995.14	0	0
4	1	data unknown	2722.58	0	0
5	1	data unknown	2523.6	0	0
6	1	data unknown	3807.72	0	0
7	1	data unknown	1100.45	0	0
8	1	data unknown	514.591	0	0
9	1	data unknown	4720.52	0	0
10	1	data unknown	2336.26	0	0
11	1	data unknown	1995.51	0	0
12	1	data unknown	1882.03	0	0
13	1	data unknown	2538.38	0	0
14	1	data unknown	541.348	0	0
15	1	data unknown	4587.58	0	0
16	1	data unknown	1499.94	0	0
17	1	data unknown	2237.82	0	0
18	1	data unknown	222.206	0	0
19	1	data unknown	1074.42	0	0
20	1	data unknown	1524.24	0	0
21	1	data unknown	3412.04	0	0
22	1	data unknown	1528.45	0	0
23	1	data unknown	551.613	0	0
24	1	data unknown	684.185	0	0
25	1	data unknown	1487.31	0	0
26	1	data unknown	2600.12	0	0
27	1	data unknown	1126.06	0	0
28	1	data unknown	1814.77	0	0
29	1	data unknown	933.517	0	0
30	1	data unknown	1210.77	0	0
31	1	data unknown	1024.94	0	0
32	1	data unknown	824.017	0	0
33	1	data unknown	613.457	0	0
34	1	data unknown	1046.13	0	0
35	1	data unknown	794.655	0	0
36	1	data unknown	746.304	0	0
37	1	data unknown	2210	0	0
38	1	data unknown	3488.15	0	0
39	1	data unknown	1931.04	0	0
40	1	data unknown	1894.54	0	0
41	1	data unknown	542.29	0	0
42	1	data unknown	1703.71	0	0
43	1	data unknown	1197.5	0	0
44	1	data unknown	2901.38	0	0
45	1	data unknown	655.525	0	0
46	1	data unknown	877.541	0	0
47	1	data unknown	1059.96	0	0
48	1	data unknown	1038.46	0	0
49	1	data unknown	1917.65	0	0
50	1	data unknown	1418.02	0	0
51	1	data unknown	1462.87	0	0
52	1	data unknown	1157.06	0	0
53	1	data unknown	2684.64	0	0
54	1	data unknown	1133.6	0	0
55	1	data unknown	1002.87	0	0
56	1	data unknown	4607.99	0	0
57	1	data unknown	607.235	0	0
58	1	data unknown	924.831	0	0
59	1	data unknown	2700.65	0	0
60	1	data unknown	1019.14	0	0
61	1	data unknown	1804.29	0	0
62	1	data unknown	1122.33	0	0
63	1	data unknown	141.563	0	0
64	1	data unknown	738.937	0	0
65	1	data unknown	2088.29	0	0
66	1	data unknown	1374.28	0	0
67	1	data unknown	770.897	0	0
68	1	data unknown	1233.75	0	0
69	1	data unknown	652.691	0	0
70	1	data unknown	1839.05	0	0
71	1	data unknown	1505.92	0	0
72	1	data unknown	1756.52	0	0
73	1	data unknown	1018.69	0	0
74	1	data unknown	824.73	0	0
75	1	data unknown	1979.59	0	0
76	1	data unknown	1450.23	0	0
77	1	data unknown	918.716	0	0
78	1	data unknown	1134.88	0	0
79	1	data unknown	1084.18	0	0
80	1	data unknown	1206.03	0	0
81	1	data unknown	933.807	0	0
82	1	data unknown	1978.17	0	0
83	1	data unknown	957.344	0	0
84	1	data unknown	3101.04	0	0
85	1	data unknown	1438.25	0	0
86	1	data unknown	383.148	0	0
87	1	data unknown	2332.3	0	0
88	1	data unknown	2445.3	0	0
89	1	data unknown	1390.47	0	0
90	1	data unknown	775.131	0	0
91	1	data unknown	1161.23	0	0
92	1	data unknown	1716.41	0	0
93	1	data unknown	1342.92	0	0
94	1	data unknown	1089.6	0	0
95	1	data unknown	1723.67	0	0
96	1	data unknown	1429.84	0	0
97	1	data unknown	2722.28	0	0
98	1	data unknown	961.273	0	0
99	1	data unknown	2187.52	0	0
100	1	data unknown	828.785	0	0
101	1	data unknown	696.285	0	0
102	1	data unknown	2351.02	0	0
103	1	data unknown	2316.35	0	0
104	1	data unknown	203.133	0	0
105	1	data unknown	672.779	0	0
106	1	data unknown	900.372	0	0
107	1	data unknown	681.347	0	0
108	1	data unknown	6094.54	0	0
109	1	data unknown	3860.93	0	0
110	1	data unknown	1452.87	0	0
111	1	data unknown	614.975	0	0
112	1	data unknown	3979.39	0	0
113	1	data unknown	1479.08	0	0
114	1	data unknown	2089.25	0	0
115	1	data unknown	44.4412	0	0
116	1	data unknown	778.862	0	0
117	1	data unknown	1439.45	0	0
118	1	data unknown	511.414	0	0
119	1	data unknown	6922.68	0	0
120	1	data unknown	1600.66	0	0
121	1	data unknown	1589.26	0	0
122	1	data unknown	553.406	0	0
123	1	data unknown	749.039	0	0
124	1	data unknown	2374.97	0	0
125	1	data unknown	569.82	0	0
126	1	data unknown	1047.76	0	0
127	1	data unknown	791.149	0	0
128	1	data unknown	5357.95	0	0
129	1	data unknown	1534.5	0	0
130	1	data unknown	336.113	0	0
131	1	data unknown	3284.65	0	0
132	1	data unknown	1360.92	0	0
133	1	data unknown	849.243	0	0
134	1	data unknown	1221.48	0	0
135	1	data unknown	899.433	0	0
136	1	data unknown	755.474	0	0
137	1	data unknown	578.007	0	0
138	1	data unknown	901.897	0	0
139	1	data unknown	2526.34	0	0
140	1	data unknown	1002.45	0	0
141	1	data unknown	3600.42	0	0
142	1	data unknown	1307.6	0	0
143	1	data unknown	647.606	0	0
144	1	data unknown	1144.05	0	0
145	1	data unknown	1111.38	0	0
146	1	data unknown	677.624	0	0
147	1	data unknown	2450.64	0	0
148	1	data unknown	1042.1	0	0
149	1	data unknown	1528.27	0	0
150	1	data unknown	1035.51	0	0
151	1	data unknown	1421.36	0	0
152	1	data unknown	901.627	0	0
153	1	data unknown	1786.13	0	0
154	1	data unknown	313.606	0	0
155	1	data unknown	585.472	0	0
156	1	data unknown	564.587	0	0
157	1	data unknown	961.021	0	0
158	1	data unknown	1760.84	0	0
159	1	data unknown	1335.42	0	0
160	1	data unknown	592.609	0	0
161	1	data unknown	1103.77	0	0
162	1	data unknown	1329.91	0	0
163	1	data unknown	1058.5	0	0
164	1	data unknown	1085.86	0	0
165	1	data unknown	933.54	0	0
166	1	data unknown	2293.58	0	0
167	1	data unknown	526.279	0	0
168	1	data unknown	1374.2	0	0
169	1	data unknown	1334.4	0	0
170	1	data unknown	634.903	0	0
171	1	data unknown	545.277	0	0
172	1	data unknown	1398.66	0	0
173	1	data unknown	562.527	0	0
174	1	data unknown	562.141	0	0
175	1	data unknown	6942.33	0	0
176	1	data unknown	125.16	0	0
177	1	data unknown	565.414	0	0
178	1	data unknown	1822.98	0	0
179	1	data unknown	2014.31	0	0
180	1	data unknown	921.154	0	0
181	1	data unknown	1265.45	0	0
182	1	data unknown	63.0188	0	0
183	1	data unknown	2351.76	0	0
184	1	data unknown	563.961	0	0
185	1	data unknown	1203.53	0	0
186	1	data unknown	971.706	0	0
187	1	data unknown	2336.59	0	0
188	1	data unknown	638.901	0	0
189	1	data unknown	1798.61	0	0
190	1	data unknown	1486.98	0	0
191	1	data unknown	944.225	0	0
192	1	data unknown	825.657	0	0
